"acceptedName","specimenCount","propContemporary","logSpecimenCount","yearPublished","Threatened"
"Abortiporus biennis",4225,0.724023668639053,8.34877453979127,1772,NA
"Abstoma reticulatum",22,0.0454545454545454,3.09104245335832,1927,NA
"Abstoma townei",27,0.037037037037037,3.29583686600433,1922,NA
"Abundisporus fuscopurpureus",165,0.315151515151515,5.10594547390058,1827,NA
"Acanthobasidium penicillatum",232,0.116379310344828,5.44673737166631,1918,NA
"Acanthobasidium weirii",109,0.018348623853211,4.69134788222914,1918,NA
"Acanthophysellum canadense",72,0.277777777777778,4.27666611901606,1944,NA
"Acanthophysellum fennicum",22,0.136363636363636,3.09104245335832,1939,NA
"Acanthophysellum lividocoeruleum",551,0.197822141560799,6.31173480915291,1868,NA
"Acanthophysium bisporum",2,0,0.693147180559945,1986,NA
"Acanthophysium oakesii",767,0.298565840938722,6.64248680136726,1873,NA
"Acervus aurantiacus",4,0,1.38629436111989,1938,NA
"Acervus epispartius",46,0.282608695652174,3.8286413964891,1873,NA
"Acervus flavidus",33,0.363636363636364,3.49650756146648,1875,NA
"Acetabula murina",3,0,1.09861228866811,1927,NA
"Acladium curtisii",254,0.0393700787401575,5.53733426701854,1855,NA
"Acladium simile",77,0.038961038961039,4.34380542185368,1845,NA
"Adelphella babingtonii",734,0.56267029972752,6.59850902861452,1851,NA
"Aegerita torulosa",24,0,3.17805383034795,1851,NA
"Aegerita webberi",98,0.0102040816326531,4.58496747867057,1910,NA
"Agaricus abramsii",1,0,0,1912,NA
"Agaricus abruptibulbus",507,0.394477317554241,6.22851100359118,1900,NA
"Agaricus agrinferus",21,0.380952380952381,3.04452243772342,2008,NA
"Agaricus alabamensis",4,0,1.38629436111989,1922,NA
"Agaricus alachuanus",10,0.5,2.30258509299405,1938,NA
"Agaricus albolutescens",166,0.548192771084337,5.11198778835654,1938,NA
"Agaricus albosanguineus",4,0.25,1.38629436111989,1938,NA
"Agaricus alligator",6,0.5,1.79175946922805,1945,NA
"Agaricus altipes",271,0.645756457564576,5.6021188208797,1950,NA
"Agaricus amicosus",42,0.880952380952381,3.73766961828337,1989,NA
"Agaricus andrewii",26,0.769230769230769,3.25809653802148,1979,NA
"Agaricus angelicus",2,0,0.693147180559945,1880,NA
"Agaricus anisarius",2,0,0.693147180559945,1880,NA
"Agaricus approximans",15,0.933333333333333,2.70805020110221,1909,NA
"Agaricus argyropotamicus",20,0.35,2.99573227355399,1898,NA
"Agaricus aridicola",105,0.495238095238095,4.65396035015752,1838,NA
"Agaricus arorae",39,0.897435897435897,3.66356164612965,1985,NA
"Agaricus arvensis",5604,0.661670235546039,8.6312359074569,1774,"0"
"Agaricus augustus",4467,0.822923662413253,8.40447232135212,1838,NA
"Agaricus auresiccescens",3,0,1.09861228866811,1979,NA
"Agaricus azoetes",1,1,0,1999,NA
"Agaricus benesii",344,0.630813953488372,5.8406416573734,1925,NA
"Agaricus bernardii",787,0.703939008894536,6.6682282484174,1878,NA
"Agaricus bisporatus",1,1,0,1993,NA
"Agaricus bisporus",1285,0.540856031128405,7.15851399732932,1860,NA
"Agaricus bitorquis",2561,0.732526356891839,7.84815308619953,1835,"0"
"Agaricus bivelatoides",1,0,0,1912,NA
"Agaricus bivelatus",7,0,1.94591014905531,1909,NA
