acceptedName,specimenCount,propContemporary,yearPublished,medianPrediction,lower95ConfInt,upper95ConfInt
Fomitopsis pinicola,48660,0.865,1774,0.001,0,0.004
Trametes versicolor,48850,0.804,1753,0.001,0,0.006
Fomes fomentarius,43836,0.9,1753,0.001,0,0.006
Phellinidium ferrugineofuscum,29994,0.94,1887,0.001,0,0.003
Schizophyllum commune,35757,0.833,1755,0.001,0,0.008
Laetiporus sulphureus,30743,0.893,1755,0.001,0,0.009
Stereum hirsutum,33470,0.758,1776,0.001,0,0.008
Amanita rubescens,29055,0.845,1787,0.001,0,0.007
Hypholoma fasciculare,27527,0.859,1778,0.001,0,0.008
Lactarius deterrimus,12970,0.857,1968,0.002,0,0.007
Xylaria hypoxylon,25536,0.838,1753,0.002,0,0.013
Cantharellus cibarius,26540,0.796,1753,0.002,0,0.013
Phellinus chrysoloma,16732,0.941,1861,0.002,0,0.006
Phellopilus nigrolimitatus,14750,0.885,1911,0.002,0,0.006
Trichaptum abietinum,23397,0.774,1792,0.002,0,0.01
Calocera viscosa,21087,0.861,1794,0.002,0,0.009
Laccaria laccata,24514,0.736,1772,0.002,0,0.013
Apioperdon pyriforme,22415,0.816,1774,0.002,0,0.012
Phellinus viticola,17737,0.892,1822,0.002,0,0.008
Hygrocybe conica,21034,0.851,1774,0.002,0,0.012
Cerioporus squamosus,20757,0.906,1755,0.002,0,0.014
Leccinum scabrum,20996,0.795,1783,0.002,0,0.012
Phellinus tremulae,11828,0.864,1912,0.002,0.001,0.008
Rhodofomes roseus,17586,0.872,1805,0.002,0,0.01
Hermanssonia centrifuga,12359,0.913,1881,0.002,0.001,0.008
Auricularia auricula-judae,20415,0.844,1753,0.002,0,0.016
Bjerkandera adusta,21583,0.702,1787,0.002,0,0.014
Macrolepiota procera,18518,0.884,1772,0.002,0,0.013
Rhytisma acerinum,17923,0.843,1794,0.003,0,0.012
Laccaria amethystina,18368,0.864,1778,0.003,0,0.013
Daedaleopsis confragosa,18580,0.789,1792,0.003,0,0.013
Clitocybe nebularis,16281,0.87,1789,0.003,0,0.013
Hygrophoropsis aurantiaca,17485,0.809,1781,0.003,0,0.015
Stereum rugosum,16847,0.804,1794,0.003,0,0.014
Phaeolus schweinitzii,15792,0.836,1800,0.003,0,0.013
Lepista nuda,16004,0.844,1790,0.003,0,0.014
Coprinellus micaceus,15838,0.857,1786,0.003,0,0.014
Gloeophyllum sepiarium,18294,0.727,1783,0.003,0,0.016
Hygrocybe reidii,5744,0.93,1977,0.003,0.001,0.012
